! ======================================================================
! Group contribution for the Nannoolal SAR (Psat and Tb).
! 1st column is contributions for Tb, 2nd Column for Psat. Nothing is 
! read after the 2nd column (which is just info).
!
! Data for Tb : 
! Nannoolal, Y., Rarey, J., Ramjugernath, D., and Cordes, W.: Estimation
! of pure component properties:  Part 1. Estimation of the normal 
! boiling point of non-electrolyte organic compounds via group contributions
! and group interactions, Fluid Phase Equilibria, 226, 45-63, 2004.
!
! Data for Psat : 
! Nannoolal, Y., Rarey, J., and Ramjugernath, D.: Estimation of pure
! component properties: Part 3. Estimation of the vapor pressure of
! non-electrolyte organic compounds via group contributions and group 
! interactions, Fluid Phase Equilibria, 269, 117-133, 2008.
! ======================================================================
  663.8000     1659.0340   162   
  395.4100        0.0000   163   ! missing psat contribution
   27.2700        0.0000   164   ! missing psat contribution
  239.8100     -307.1018   165   
  101.8500       65.4421   166   
  317.0200        0.0000   167   ! missing psat contribution
 -215.3500        0.0000   168   ! missing psat contribution
  758.9900        0.0000   169   ! missing psat contribution
  217.6400      240.3037   170   
  501.2800        0.0000   171   ! missing psat contribution
  117.2000    -2601.7090   172   
  612.8800        0.0000   173   ! missing psat contribution
 -183.3000        0.0000   174   ! missing psat contribution
  -55.9900     -787.8563   175   
 -356.5000    -3929.1300   176   
 -263.0800        0.0000   177   ! missing psat contribution
   91.5000      144.6074   178   
  178.7800     1118.9580   179   
  322.5700     -225.7802   180   
   15.7000     1981.2980   181   
   17.0400      362.7540   182   
  394.5500    -1425.0170   183   
  963.6500        0.0000   184   ! missing psat contribution
  293.6000      743.3353   185   
  329.0100        0.0000   186   ! missing psat contribution
 1006.3900    -3748.8180   187   
  163.5500        0.0000   188   ! missing psat contribution
  431.1000      920.3138   189   
   22.5200     1594.1640   190   
 -205.6200        0.0000   191   ! missing psat contribution
  517.0700      108.1305   192   
  707.9400     1590.3210   193   
 -303.9700    -1270.0830   194   
 -391.3700        0.0000   195   ! missing psat contribution
-3628.9000        0.0000   196   ! missing psat contribution
  381.0100        0.0000   197   ! missing psat contribution
 -574.2200        0.0000   198   ! missing psat contribution
